time,x,y,z
3.609372167,0.220995077,-0.4719480711,-0.2052068639
3.619337167,0.1714197515,-0.6197077954,-0.001209788918
3.629303167,0.3327565643,-0.4821812832,0.1431579655
3.639268167,0.1160458884,-0.8752773124,0.3321721351
3.649234167,0.01361392602,-0.9268941933,0.3754041088
3.659199167,-0.09739867911,-0.8337556493,0.2936465853
3.669165167,0.04383335978,-0.6536140448,0.07052078292
3.679130167,0.4182348172,-0.5069518429,-0.1818168318
3.689096167,0.5711108552,-0.3722068512,-0.2334894074
3.699061167,0.7756775951,0.3633758014,-0.01480295733
3.709027167,1.159307859,-0.07840122163,0.2360822091
3.718992167,0.6536565833,-2.866274123,0.1677481386
3.728958167,-0.2071754752,-4.729345549,0.3857998735
3.738923167,-0.4161855143,-6.49921762,0.4808163969
3.748889167,-0.02733193249,-8.428509933,0.4379095285
3.758854167,0.2099629891,-10.53542428,0.8227124517
3.768820167,-0.3147542299,-12.34110763,1.250015423
3.778785167,-2.203876683,-14.32582336,1.315648372
3.788751167,-4.692241749,-16.49546313,2.040991673
3.798716167,-7.139642685,-18.07006451,3.120868909
3.808682167,-7.188213751,-17.70920711,2.730435409
3.818647167,-4.888015593,-13.47525463,0.7543106997
3.828613167,-4.039450116,-7.953700234,-0.1716488162
3.838578167,1.697497867,-0.6616335011,-1.691758533
3.848544167,9.411954888,6.550924548,-3.718878564
3.858509167,15.36695519,13.09850449,-1.120483371
3.868475167,15.99852231,18.83092176,0.4713075086
3.878440167,10.87413712,21.27700502,-4.68555809
3.888406167,3.165921121,22.36993149,-3.307413799
3.898371167,-2.461893844,21.42420283,-2.535047482
3.908337167,-7.655835468,18.22070867,2.624925034
3.918302167,-8.985256079,10.0348348,4.399335714
3.928268167,-4.443698247,2.983032494,1.0236814
3.938233167,-2.956839892,2.245486346,-0.7966053647
3.948199167,-2.274106713,4.964204813,-0.3381643617
3.958164167,0.6856345671,7.83151974,-1.082498688
3.968130167,1.654583982,8.481410277,-1.792234747
3.978095167,1.599966164,8.289356725,-1.274241022
3.988061167,1.636542983,8.108792367,-0.3864185089
3.998026167,1.73145411,7.632536067,0.1898139225
4.007992167,1.741578272,6.827347575,0.2726919186
4.017957167,1.727650643,5.259407927,-0.3038531926
4.027923167,1.434909937,2.919516529,-0.9264657386
4.037888167,0.004014405906,-1.708431868,-1.349922412
4.047854167,-1.66984653,-7.086748188,-1.479695808
4.057819167,-0.8950004824,-8.221214443,-2.045912983
4.067785167,0.2140516546,-6.357026199,-2.129615582
4.077750167,1.09739966,-4.318801428,-3.341224739
4.087716167,2.348556532,-0.885942049,-4.883238418
